accession,domain,family,genome_type,host,isolate,order,size,subfamily,subgenome_type,topology,virus
NC_027622,Viruses,Siphoviridae,Caudovirales,Propionibacterium acnes ATCC 6919,,,29330,,Pahexavirus,linear,Propionibacterium phage Stormborn
NC_027621,Viruses,Siphoviridae,Caudovirales,Propionibacterium acnes ATCC 6919,,,29463,,Pahexavirus,linear,Propionibacterium phage Wizzo
NC_027620,Viruses,Siphoviridae,Caudovirales,Propionibacterium acnes ATCC 6919,,,29726,,Pahexavirus,linear,Propionibacterium phage MrAK
NC_028968,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,71214,,Coopervirus,linear,Mycobacterium phage BrownCNA
NC_028942,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,68293,,Pegunavirus,linear,Mycobacterium phage Phipps
NC_028934,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,72139,,Coopervirus,linear,Mycobacterium phage Vincenzo
NC_028907,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,68839,,Pegunavirus,linear,Mycobacterium phage Kikipoo
NC_028803,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,69118,,Pegunavirus,linear,Mycobacterium phage OSmaximus
NC_028801,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,68346,,unclassified Pegunavirus,linear,Mycobacterium phage Vortex
NC_028742,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,70270,,Acadianvirus,linear,Mycobacterium phage Baee
NC_028691,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,68227,,Pegunavirus,linear,Mycobacterium phage Apizium
NC_028690,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,68472,,Pegunavirus,linear,Mycobacterium phage Eremos
NC_028689,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,67774,,Pegunavirus,linear,Mycobacterium phage Colbert
NC_028682,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,69030,,Pegunavirus,linear,Mycobacterium phage Badfish
NC_028681,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2155,,,68367,,Pegunavirus,linear,Mycobacterium phage Pops
NC_028674,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,68355,,Pegunavirus,linear,Mycobacterium phage ShiVal
NC_028658,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,68735,,Pegunavirus,linear,Mycobacterium phage Swish
NC_027985,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,68016,,Pegunavirus,linear,Mycobacterium phage UncleHowie
NC_025438,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,67744,,Pegunavirus,linear,Mycobacterium phage Soto
NC_024363,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,68807,,Pegunavirus,linear,Mycobacterium phage Manad
NC_023742,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,68711,,Pipefishvirus,linear,Mycobacterium phage Akoma
NC_023741,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,69641,,Coopervirus,linear,Mycobacterium phage Stinger
NC_023740,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,68311,,Pegunavirus,linear,Mycobacterium phage JacAttac
NC_023727,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,68494,,Pegunavirus,linear,Mycobacterium phage Vista
NC_023711,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,68720,,Pegunavirus,linear,Mycobacterium phage Oline
NC_023703,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,64613,,,linear,Mycobacterium phage Dori
NC_023701,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,69864,,Acadianvirus,linear,Mycobacterium virus Acadian
NC_023686,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,67949,,Pipefishvirus,linear,Mycobacterium phage Gadjet
NC_023563,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,68262,,Pegunavirus,linear,Mycobacterium phage Suffolk
NC_023554,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,70841,,Coopervirus,linear,Mycobacterium phage JAMaL
NC_022983,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,68196,,Pipefishvirus,linear,Mycobacterium phage Bernardo
NC_022063,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,70115,,unclassified Acadianvirus,linear,Mycobacterium phage Phelemich
NC_022061,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegamtis mc2 155,,,70838,,unclassified Bclasvirinae,linear,Mycobacterium phage KayaCho
NC_021310,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,68598,,Pegunavirus,linear,Mycobacterium phage Newman
NC_031239,Viruses,Siphoviridae,Caudovirales,Gordonia terrae 3612,,,59337,,Gordonia virus Vivi2,linear,Gordonia phage Vivi2
NC_031112,Viruses,Siphoviridae,Caudovirales,Gordonia terrae 3612,,,59265,,,linear,Gordonia phage Phinally
NC_028693,Viruses,Podoviridae,Caudovirales,Enterococcus faecalis 2003,,,18655,,unclassified Picovirinae,linear,Enterococcus phage vB_EfaP_IME195
NC_031277,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52561,,unclassified Fromanvirus,linear,Mycobacterium phage ArcherNM
NC_028965,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,53219,,unclassified Fromanvirus,linear,Mycobacterium phage Pioneer
NC_029043,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,53184,,unclassified Fromanvirus,linear,Mycobacterium phage SweetiePie
NC_029018,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,50854,,unclassified Fromanvirus,circular,Mycobacterium phage Anubis
NC_028960,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51543,,unclassified Fromanvirus,linear,Mycobacterium phage Theia
NC_031279,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52129,,unclassified Fromanvirus,linear,Mycobacterium phage Bactobuster
NC_031263,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,53935,,unclassified Fromanvirus,linear,Mycobacterium phage EvilGenius
NC_031256,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,53486,,unclassified Fromanvirus,linear,Mycobacterium phage Loser
NC_031257,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52428,,unclassified Fromanvirus,linear,Mycobacterium phage Mulciber
NC_031238,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,53411,,unclassified Fromanvirus,linear,Mycobacterium phage Catalina
NC_031067,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52496,,unclassified Fromanvirus,linear,Mycobacterium phage Makemake
NC_031060,Viruses,Siphoviridae,Caudovirales,Gordonia terrae 3612,,,52726,,unclassified Soupsvirus,linear,Gordonia phage JSwag
NC_031031,Viruses,Siphoviridae,Caudovirales,Gordonia terrae 3612,,,52738,,unclassified Soupsvirus,linear,Gordonia phage Remus
NC_030695,Viruses,Siphoviridae,Caudovirales,Gordonia terrae 3612,,,52689,,unclassified Soupsvirus,linear,Gordonia phage KatherineG
NC_030694,Viruses,Siphoviridae,Caudovirales,Gordonia terrae 3612,,,52684,,unclassified Soupsvirus,linear,Gordonia phage Rosalind
NC_029077,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52155,,unclassified Fromanvirus,linear,Mycobacterium phage VohminGhazi
NC_029059,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51492,,unclassified Fromanvirus,linear,Mycobacterium phage Edtherson
NC_028932,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52088,,unclassified Fromanvirus,linear,Mycobacterium phage Serenity
NC_028928,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,53455,,unclassified Fromanvirus,linear,Mycobacterium phage Nerujay
NC_028920,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52530,,unclassified Fromanvirus,linear,Mycobacterium phage Abrogate
NC_028914,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52927,,unclassified Fromanvirus,linear,Mycobacterium phage Sheen
NC_028912,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,49717,,unclassified Fromanvirus,linear,Mycobacterium phage Swirley
NC_028897,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,49421,,unclassified Fromanvirus,linear,Mycobacterium phage Chadwick
NC_028877,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52967,,unclassified Fromanvirus,linear,Mycobacterium phage Larenn
NC_028860,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52392,,unclassified Fromanvirus,linear,Mycobacterium phage Smeadley
NC_028852,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,53042,,unclassified Fromanvirus,linear,Mycobacterium phage Equemioh13
NC_028849,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,53387,,unclassified Fromanvirus,linear,Mycobacterium phage Luchador
NC_028815,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2155,,,51355,,unclassified Fromanvirus,linear,Mycobacterium phage Nhonho
NC_028810,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52357,,unclassified Fromanvirus,linear,Mycobacterium phage Rufus
NC_028804,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2155,,,52643,,unclassified Fromanvirus,linear,Mycobacterium phage Barriga
NC_028802,Viruses,Siphoviridae,Caudovirales,Mycobacterum smegmatis mc2 155,,,49158,,unclassified Fromanvirus,linear,Mycobacterium phage UnionJack
NC_028794,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52647,,unclassified Fromanvirus,linear,Mycobacterium phage Piro94
NC_028744,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,53141,,unclassified Fromanvirus,linear,Mycobacterium phage LadyBird
NC_028680,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,50515,,unclassified Fromanvirus,linear,Mycobacterium phage Pepe
NC_028677,Viruses,Siphoviridae,Caudovirales,Rhodococcus erythropolis RIA 643,,,46596,,unclassified Rerduovirus,linear,Rhodococcus phage CosmicSans
NC_026583,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,49577,,unclassified Fromanvirus,linear,Mycobacterium phage Alvin
NC_025444,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegamatis mc2 155,,,53332,,Fromanvirus,linear,Mycobacterium phage RedRock
NC_024148,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,50101,,unclassified Fromanvirus,linear,Mycobacterium phage Phantastic
NC_024141,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51378,,unclassified Fromanvirus,linear,Mycobacterium phage Kampy
NC_023739,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51821,,Fromanvirus,linear,Mycobacterium virus Billknuckles
NC_023731,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,53526,,Fromanvirus,linear,Mycobacterium phage Trixie
NC_023726,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,53597,,Fromanvirus,linear,Mycobacterium virus Euphoria
NC_023723,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,53684,,unclassified Fromanvirus,linear,Mycobacterium phage Aeneas
NC_023720,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,53142,,Fromanvirus,linear,Mycobacterium virus Perseus
NC_023713,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52288,,unclassified Fromanvirus,linear,Mycobacterium phage Blue7
NC_023709,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51308,,unclassified Fromanvirus,linear,Mycobacterium phage Wile
NC_023708,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51083,,unclassified Fromanvirus,linear,Mycobacterium phage Dreamboat
NC_023707,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,53169,,Fromanvirus,linear,Mycobacterium phage Turbido
NC_023704,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51421,,Fromanvirus,linear,Mycobacterium virus Doom
NC_023687,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,53003,,Fromanvirus,linear,Mycobacterium virus Bruns
NC_023609,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,46739,,unclassified Fromanvirus,linear,Mycobacterium phage RhynO
NC_023553,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,53159,,unclassified Fromanvirus,linear,Mycobacterium phage Echild
NC_023565,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51250,,unclassified Fromanvirus,linear,Mycobacterium phage Nyxis
NC_023564,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52974,,unclassified Fromanvirus,linear,Mycobacterium phage EagleEye
NC_023562,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51236,,unclassified Fromanvirus,linear,Mycobacterium phage BellusTerra
NC_022985,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52122,,unclassified Fromanvirus,linear,Mycobacterium phage Zaka
NC_022984,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51319,,unclassified Fromanvirus,linear,Mycobacterium phage Jovo
NC_022979,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52823,,unclassified Fromanvirus,linear,Mycobacterium phage Graduation
NC_022977,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52344,,unclassified Fromanvirus,linear,Mycobacterium phage Artemis2UCLA
NC_022973,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,50755,,unclassified Fromanvirus,linear,Mycobacterium phage Conspiracy
NC_022965,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52873,,unclassified Fromanvirus,linear,Mycobacterium phage CloudWang3
NC_022329,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,53636,,unclassified Fromanvirus,circular,Mycobacterium phage PhrostyMug
NC_022087,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,53253,,unclassified Fromanvirus,circular,Mycobacterium phage AnnaL29
NC_022086,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,50690,,unclassified Fromanvirus,linear,Mycobacterium phage LittleCherry
NC_022070,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,53588,,unclassified Fromanvirus,linear,Mycobacterium phage Wheeler
NC_022062,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegamtis mc2 155,,,52102,,unclassified Fromanvirus,linear,Mycobacterium phage Trouble
NC_022058,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52519,,unclassified Fromanvirus,linear,Mycobacterium phage Adzzy
NC_021535,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,50679,,unclassified Fromanvirus,linear,Mycobacterium phage Jobu08
NC_021308,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52617,,unclassified Fromanvirus,linear,Mycobacterium phage HINdeR
NC_021307,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,49894,,unclassified Fromanvirus,linear,Mycobacterium phage Severus
NC_021297,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,52057,,unclassified Fromanvirus,linear,Mycobacterium phage PattyP
NC_013694,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,51376,,Fromanvirus,linear,Mycobacterium virus Peaches
NC_040375,Viruses,unclassified Microviridae,Microviridae,Alces alces,MP3_6497,,6434,,,circular,Alces alces faeces associated microvirus MP3 6497
NC_040374,Viruses,unclassified Microviridae,Microviridae,Alces alces,MP15_5067,,5004,,,circular,Alces alces faeces associated microvirus MP15 5067
NC_040373,Viruses,unclassified Microviridae,Microviridae,Alces alces,MP18_4940,,4892,,,circular,Alces alces faeces associated microvirus MP18 4940
NC_040350,Viruses,unclassified Microviridae,Microviridae,Alces alces,MP10_5560,,5497,,,circular,Alces alces faeces associated microvirus MP10 5560
NC_040349,Viruses,unclassified Microviridae,Microviridae,Alces alces,MP21_4718,,4662,,,circular,Alces alces faeces associated microvirus MP21 4718
NC_040342,Viruses,unclassified Microviridae,Microviridae,Alces alces,MP11_5517,,5398,,,circular,Alces alces faeces associated microvirus MP11 5517
NC_040341,Viruses,unclassified Microviridae,Microviridae,Lepus americanus,SHP1_6472,,6357,,,circular,Lepus americanus faeces associated microvirus SHP1 6472
NC_040329,Viruses,unclassified Microviridae,Microviridae,Lynx canadensis,CLP_9413,,5312,,,circular,Lynx canadensis associated microvirus CLP 9413
NC_040328,Viruses,unclassified Microviridae,Microviridae,Alces alces,MP12_5423,,5360,,,circular,Alces alces faeces associated microvirus MP12 5423
NC_009552,Viruses,Siphoviridae,Caudovirales,Geobacillus,,,40863,,,linear,Geobacillus virus E2
NC_031068,Viruses,Podoviridae,Caudovirales,Pectobacterium carotovorum subsp. carotovorum PB69,,,44268,,unclassified Phimunavirus,linear,Pectobacterium phage PP16
NC_026608,Viruses,Siphoviridae,Caudovirales,Paracoccus marcusii JL-65,,,42093,,,circular,Paracoccus phage vB_PmaS-R3
NC_027345,Viruses,Podoviridae,Caudovirales,Pseudomonas aeruginosa PAO1,,,73008,,unclassified Litunavirus,linear,Pseudomonas phage Pa2
NC_028671,Viruses,Siphoviridae,Caudovirales,Enterococcus faecalis,,,41098,,,linear,Enterococcus phage vB_EfaS_IME197
NC_030476,Viruses,unclassified Microviridae,Microviridae,Pan troglodytes,CPNG_29299,,5184,,,circular,Chimpanzee faeces associated microphage 2
NC_029005,Viruses,Siphoviridae,Caudovirales,Streptomyces avermitilis ATCC 31267,,,56451,,unclassified Woodruffvirus,circular,Streptomyces phage phiSAJS1
NC_028987,Viruses,Podoviridae,Caudovirales,Acinetobacter baumannii,,,41243,,Friunavirus,circular,Acinetobacter phage IME200
NC_011318,Viruses,Siphoviridae,Caudovirales,Clostridium perfringens,,,38753,,,linear,Clostridium phage phiCP39-O
NC_007060,Viruses,Siphoviridae,Caudovirales,Staphylococcus aureus,,,41902,,Phietavirus,linear,Staphylococcus virus 55
NC_007055,Viruses,Siphoviridae,Caudovirales,Staphylococcus aureus,,,43681,,Phietavirus,linear,Staphylococcus virus 37
NC_007053,Viruses,Siphoviridae,Caudovirales,Staphylococcus aureus,,,43095,,Triavirus,linear,Staphylococcus virus 3a
NC_005356,Viruses,Siphoviridae,Caudovirales,Staphylococcus aureus,,,41708,,Biseptimavirus,linear,Staphylococcus virus 77
NC_004821,Viruses,Siphoviridae,Caudovirales,Bacillus cereus,,,38472,,,linear,Bacillus phage phBC6A52
NC_004820,Viruses,Siphoviridae,Caudovirales,Bacillus cereus,,,61395,,,linear,Bacillus phage phBC6A51
NC_004740,Viruses,Siphoviridae,Caudovirales,Staphylococcus aureus subsp. aureus N315,,,44082,,,linear,Staphylococcus phage phiN315
NC_004589,Viruses,Siphoviridae,Caudovirales,Streptococcus pyogenes MGAS315,,,40014,,,linear,Streptococcus phage 315.6
NC_004588,Viruses,,Caudovirales,Streptococcus pyogenes MGAS315,,,38206,,,linear,Streptococcus phage 315.5
NC_004587,Viruses,Siphoviridae,Caudovirales,Streptococcus pyogenes MGAS315,,,41796,,,linear,Streptococcus phage 315.4
NC_004586,Viruses,Siphoviridae,Caudovirales,Streptococcus pyogenes MGAS315,,,34419,,,linear,Streptococcus phage 315.3
NC_004585,Viruses,Siphoviridae,Caudovirales,Streptococcus pyogenes MGAS315,,,41072,,,linear,Streptococcus phage 315.2
NC_004170,Viruses,Cystoviridae,Riboviria,Pseudomonas syringae,,,2981,,Cystovirus,linear,Pseudomonas phage phi13
NC_000924,Viruses,Podoviridae,Caudovirales,Escherichia coli O157:H7 EDL933,,,61670,,Traversvirus,linear,Enterobacteria phage 933W
NC_028808,Viruses,Myoviridae,Caudovirales,Escherichia coli MG1655,,,90743,,Suspvirus,linear,Escherichia phage SUSP1
NC_004775,Viruses,Podoviridae,Caudovirales,Salmonella enterica,,,39672,,Uetakevirus,linear,Salmonella phage epsilon15
NC_028935,Viruses,Myoviridae,Caudovirales,Escherichia coli MG1655,,,88698,,Suspvirus,linear,Escherichia phage SUSP2
NC_031224,Viruses,Siphoviridae,Caudovirales,Arthrobacter sp. ATCC 21022,,,59443,,Mudcatvirus,linear,Arthrobacter phage Mudcat
NC_031255,Viruses,Siphoviridae,Caudovirales,Gordonia terrae 3612,,,46895,,unclassified Bowservirus,linear,Gordonia phage Schnabeltier
NC_029048,Viruses,Siphoviridae,Caudovirales,Clostridium difficile,,,131704,,,linear,Clostridium phage phiCD211
NC_028908,Viruses,Podoviridae,Caudovirales,Achromobacter xylosoxidans,,,72825,,Jwalphavirus,linear,Achromobacter phage phiAxp-3
NC_034248,Viruses,Siphoviridae,Caudovirales,Rhizobium etli CFN42,,,115042,,unclassified Nickievirus,linear,Rhizobium phage RHEph10
NC_027348,Viruses,Podoviridae,Caudovirales,Delftia tsuruhatensis ARB-1,,,73882,,,linear,Delftia phage RG-2014
NC_029003,Viruses,Myoviridae,Caudovirales,Salmonella enterica subsp. salamae 10/99 II,SEN1,,29733,,unclassified Peduovirus,circular,Salmonella phage SEN1
NC_028696,Viruses,Podoviridae,Caudovirales,Salmonella enterica subsp. diarizonae 89/00 IIIb,,,41338,,Lederbergvirus,circular,Salmonella phage SEN22
NC_031045,Viruses,Ackermannviridae,Caudovirales,Salmonella enterica serovar Typhimurium,,,157855,,Kuttervirus,linear,Salmonella phage GG32
NC_031021,Viruses,Siphoviridae,Caudovirales,Salmonella enterica serovar Enteritidis,,,41224,,unclassified Jerseyvirus,linear,Salmonella phage MA12
NC_029015,Viruses,Myoviridae,Caudovirales,Salmonella enterica subsp. salamae 200/01 II,SEN4,,33509,,unclassified Peduovirus,circular,Salmonella phage SEN4
NC_028701,Viruses,Myoviridae,Caudovirales,Salmonella enterica subsp. salamae 241/01 II,,,33509,,unclassified Peduovirus,circular,Salmonella phage SEN5
NC_031937,Viruses,Podoviridae,Caudovirales,Escherichia coli strain LM33,,,38979,,Teseptimavirus,linear,Escherichia phage LM33_P1
NC_031933,Viruses,Siphoviridae,Caudovirales,Salmonella enterica subsp. Enteritidis,,,114180,,Tequintavirus,linear,Salmonella phage 118970_sal2
NC_031925,Viruses,Siphoviridae,Caudovirales,Salmonella enterica subsp. enterica serovar Enteritidis,,,43788,,unclassified Jerseyvirus,linear,Salmonella phage BPS11Q3
NC_031918,Viruses,Siphoviridae,Caudovirales,Salmonella enterica subsp. Typhimurium,,,45342,,unclassified Roufvirus,linear,Salmonella phage 64795_sal3
NC_031946,Viruses,Podoviridae,Caudovirales,Salmonella enterica,,,40443,,Lederbergvirus,linear,Salmonella phage 103203_sal5
NC_031944,Viruses,Myoviridae,Caudovirales,Synechococcus sp.,0810PA09,,185102,,,linear,Synechococcus phage S-WAM1
NC_031943,Viruses,Podoviridae,Caudovirales,Escherichia coli O:45 strain C1328,,,40470,,Teseptimavirus,linear,Escherichia phage vB_EcoP_GA2A
NC_031942,Viruses,Siphoviridae,Caudovirales,Streptococcus pneumoniae 09B05356,,,40498,,,linear,Streptococcus phage phiARI0462
NC_031941,Viruses,Siphoviridae,Caudovirales,Streptococcus pneumoniae 10B01058,,,34563,,,linear,Streptococcus phage phiARI0131-2
NC_031940,Viruses,Myoviridae,Caudovirales,Salmonella enterica,,,77375,,,linear,Salmonella phage 118970_sal3
NC_031939,Viruses,Myoviridae,Caudovirales,Salmonella enterica subsp. enterica serovar Heidelberg,,,89817,,Salmonella virus BPS15Q2,linear,Salmonella phage BPS15Q2
NC_031938,Viruses,,unclassified bacterial viruses,Flavobacterium psychrophilum 950106-1/1,,,42820,,,linear,Flavobacterium phage Fpv6
NC_031936,Viruses,Siphoviridae,Caudovirales,Gordonia alkanivorans strain CON72,,,49979,,Gordonia virus GAL1,linear,Gordonia phage GAL1
NC_031935,Viruses,Myoviridae,Caudovirales,Synechococcus sp.,0810PA29,,186386,,,linear,Synechococcus phage S-WAM2
NC_031934,Viruses,Myoviridae,Caudovirales,Escherichia coli DE217,,,168929,,Escherichia virus MX01,linear,Escherichia phage MX01
NC_031932,Viruses,,unclassified bacterial viruses,Flavobacterium psychrophilum 950106-1/1,,,42702,,,linear,Flavobacterium phage Fpv10
NC_031931,Viruses,Podoviridae,Caudovirales,Flavobacterium psychrophilum 950106-1/1,,,89010,,unclassified Fipvunavirus,linear,Flavobacterium phage Fpv2
NC_031930,Viruses,Siphoviridae,Caudovirales,Salmonella enterica,,,59518,,unclassified Chivirus,linear,Salmonella phage 118970_sal1
NC_031929,Viruses,Siphoviridae,Caudovirales,Streptococcus pneumoniae 08B06220,,,41063,,,linear,Streptococcus phage phiARI0468-1
NC_031928,Viruses,Myoviridae,Caudovirales,Escherichia coli DE017,,,169936,,Escherichia virus WG01,linear,Escherichia phage WG01
NC_031927,Viruses,Myoviridae,Caudovirales,Synechococcus sp.,0910CC49,,216121,,,linear,Synechococcus phage S-CAM7
NC_031926,Viruses,Siphoviridae,Caudovirales,Flavobacterium psychrophilum A2,,,46575,,Flavobacterium virus 2A,linear,Flavobacterium phage 2A
NC_031924,Viruses,Siphoviridae,Caudovirales,Klebsiella pneumoniae,,,47564,,unclassified Roufvirus,linear,Salmonella phage IME207
NC_031923,Viruses,Siphoviridae,Caudovirales,Streptococcus pneumoniae 08B07540,,,42186,,,linear,Streptococcus phage phiARI0468-2
NC_031922,Viruses,Myoviridae,Caudovirales,Synechococcus sp.,1109NB16,,174830,,,linear,Synechococcus phage S-CAM9
NC_031920,Viruses,Siphoviridae,Caudovirales,Streptococcus pneumoniae 08B01757,,,41105,,,linear,Streptococcus phage phiARI0004
NC_031919,Viruses,,unclassified bacterial viruses,Flavobacterium psychrophilum 950106-1/1,,,42696,,,linear,Flavobacterium phage Fpv8
NC_031917,Viruses,Siphoviridae,Caudovirales,Pseudoalteromonas atlantica,,,39949,,,linear,Pseudoalteromonas phage BS5
NC_031915,Viruses,Siphoviridae,Caudovirales,Streptococcus pneumoniae 09B10874,,,37395,,,linear,Streptococcus phage phiARI0468-4
NC_031914,Viruses,Podoviridae,Caudovirales,Flavobacterium psychrophilum 950106-1/1,,,88994,,Flavobacterium virus Fpv1,linear,Flavobacterium phage Fpv1
NC_031913,Viruses,Siphoviridae,Caudovirales,Streptococcus pneumoniae 08B03577,,,41807,,,linear,Streptococcus phage phiARI0460-1
