Genus_species,Domain,Phylum,Class,Order,Family,Genus
Brevibacillus_sp,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus
Brevibacterium_aurantiacum,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium
Brevibacterium_linens,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium
Brevibacterium],NA,NA,NA,NA,NA,NA
Brevundimonas_diminuta,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
Brevundimonas_naejangsanensis,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
Brevundimonas_sp,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
Brevundimonas_subvibrioides,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
Brevundimonas_vesicularis,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
Brochothrix_thermosphacta,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Brochothrix
Brucella_abortus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
Brucella_canis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
Brucella_ceti,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
Brucella_melitensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
Brucella_microti,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
Brucella_ovis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
Brucella_pinnipedialis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
Brucella_sp,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
Brucella_suis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
Buchnera_aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera
Burkholderia_ambifaria,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_cenocepacia,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_cepacia,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_contaminans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_diffusa,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_dolosa,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_gladioli,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_glumae,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_lata,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_latens,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_mallei,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_metallica,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_multivorans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_oklahomensis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_plantarii,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_pseudomallei,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_pseudomultivorans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_pyrrocinia,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_rhizoxinica,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_seminalis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_sp,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_stabilis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_stagnalis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_territorii,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_thailandensis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_ubonensis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderia_vietnamiensis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Burkholderiales_bacterium,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,NA,NA
Buttiauxella_sp,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Buttiauxella
Butyricimonas_sp,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas
Butyrivibrio_hungatei,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio
Butyrivibrio_proteoclasticus,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio
Caldicellulosiruptor_bescii,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,NA,Caldicellulosiruptor
Caldicellulosiruptor_changbaiensis,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,NA,Caldicellulosiruptor
Caldicellulosiruptor_hydrothermalis,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,NA,Caldicellulosiruptor
Caldicellulosiruptor_kristjanssonii,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,NA,Caldicellulosiruptor
Caldicellulosiruptor_kronotskyensis,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,NA,Caldicellulosiruptor
Caldicellulosiruptor_lactoaceticus,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,NA,Caldicellulosiruptor
Caldicellulosiruptor_obsidiansis,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,NA,Caldicellulosiruptor
Caldicellulosiruptor_owensensis,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,NA,Caldicellulosiruptor
Caldicellulosiruptor_saccharolyticus,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,NA,Caldicellulosiruptor
Caldilinea_aerophila,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,Caldilinea
Caldimicrobium_thiodismutans,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Caldimicrobium
Caldisericum_exile,Bacteria,Caldiserica,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum
Caldisphaera_lagunensis,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera
Calditerrivibrio_nitroreducens,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Calditerrivibrio
Caldithrix_abyssi,Bacteria,Calditrichaeota,Calditrichae,Calditrichales,Calditrichaceae,Caldithrix
Caldivirga_maquilingensis,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Caldivirga
Calothrix_sp,Bacteria,Cyanobacteria,Cyanobacteria,Nostocales,Rivulariaceae,Calothrix
Campylobacter_avium,Bacteria,Proteobacteria,Epsilonbacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Campylobacter_coli,Bacteria,Proteobacteria,Epsilonbacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Campylobacter_concisus,Bacteria,Proteobacteria,Epsilonbacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Campylobacter_cuniculorum,Bacteria,Proteobacteria,Epsilonbacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Campylobacter_curvus,Bacteria,Proteobacteria,Epsilonbacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Campylobacter_fetus,Bacteria,Proteobacteria,Epsilonbacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Campylobacter_gracilis,Bacteria,Proteobacteria,Epsilonbacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Campylobacter_helveticus,Bacteria,Proteobacteria,Epsilonbacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Campylobacter_hepaticus,Bacteria,Proteobacteria,Epsilonbacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Campylobacter_hominis,Bacteria,Proteobacteria,Epsilonbacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Campylobacter_hyointestinalis,Bacteria,Proteobacteria,Epsilonbacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Campylobacter_iguaniorum,Bacteria,Proteobacteria,Epsilonbacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Campylobacter_insulaenigrae,Bacteria,Proteobacteria,Epsilonbacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Campylobacter_jejuni,Bacteria,Proteobacteria,Epsilonbacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Campylobacter_lanienae,Bacteria,Proteobacteria,Epsilonbacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Campylobacter_lari,Bacteria,Proteobacteria,Epsilonbacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Campylobacter_peloridis,Bacteria,Proteobacteria,Epsilonbacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Campylobacter_pinnipediorum,Bacteria,Proteobacteria,Epsilonbacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Campylobacter_sp,Bacteria,Proteobacteria,Epsilonbacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Campylobacter_sputorum,Bacteria,Proteobacteria,Epsilonbacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Campylobacter_subantarcticus,Bacteria,Proteobacteria,Epsilonbacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Campylobacter_upsaliensis,Bacteria,Proteobacteria,Epsilonbacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Campylobacter_ureolyticus,Bacteria,Proteobacteria,Epsilonbacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Campylobacter_volucris,Bacteria,Proteobacteria,Epsilonbacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Candidatus_Accumulibacter,NA,NA,NA,NA,NA,NA
Candidatus_Acetothermia,NA,NA,NA,NA,NA,NA
Candidatus_Amoebophilus,NA,NA,NA,NA,NA,NA
Candidatus_Arthromitus,NA,NA,NA,NA,NA,NA
Candidatus_Atelocyanobacterium,NA,NA,NA,NA,NA,NA
Candidatus_Azobacteroides,NA,NA,NA,NA,NA,NA
Candidatus_Babela,NA,NA,NA,NA,NA,NA
Candidatus_Baumannia,NA,NA,NA,NA,NA,NA
Candidatus_Blochmannia,NA,NA,NA,NA,NA,NA
Candidatus_Cardinium,NA,NA,NA,NA,NA,NA
Candidatus_Carsonella,NA,NA,NA,NA,NA,NA
Candidatus_Cloacamonas,NA,NA,NA,NA,NA,NA
Candidatus_Cyclonatronum,NA,NA,NA,NA,NA,NA
Candidatus_Dependentiae,NA,NA,NA,NA,NA,NA
Candidatus_Desulforudis,NA,NA,NA,NA,NA,NA
Candidatus_Desulfovibrio,NA,NA,NA,NA,NA,NA
Candidatus_Endolissoclinum,NA,NA,NA,NA,NA,NA
Candidatus_Endomicrobium,NA,NA,NA,NA,NA,NA
Candidatus_Erwinia,NA,NA,NA,NA,NA,NA
Candidatus_Evansia,NA,NA,NA,NA,NA,NA
Candidatus_Filomicrobium,NA,NA,NA,NA,NA,NA
Candidatus_Fokinia,NA,NA,NA,NA,NA,NA
Candidatus_Fonsibacter,NA,NA,NA,NA,NA,NA
Candidatus_Fukatsuia,NA,NA,NA,NA,NA,NA
Candidatus_Gracilibacteria,NA,NA,NA,NA,NA,NA
Candidatus_Hamiltonella,NA,NA,NA,NA,NA,NA
Candidatus_Hepatoplasma,NA,NA,NA,NA,NA,NA
Candidatus_Ishikawaella,NA,NA,NA,NA,NA,NA
Candidatus_Izimaplasma,NA,NA,NA,NA,NA,NA
Candidatus_Kinetoplastibacterium,NA,NA,NA,NA,NA,NA
Candidatus_Korarchaeum,NA,NA,NA,NA,NA,NA
Candidatus_Koribacter,NA,NA,NA,NA,NA,NA
Candidatus_Kuenenia,NA,NA,NA,NA,NA,NA
Candidatus_Liberibacter,NA,NA,NA,NA,NA,NA
Candidatus_Mancarchaeum,NA,NA,NA,NA,NA,NA
Candidatus_Methanomassiliicoccus,NA,NA,NA,NA,NA,NA
Candidatus_Methanomethylophilus,NA,NA,NA,NA,NA,NA
Candidatus_Methanoplasma,NA,NA,NA,NA,NA,NA
Candidatus_Methylopumilus,NA,NA,NA,NA,NA,NA
Candidatus_Midichloria,NA,NA,NA,NA,NA,NA
Candidatus_Moranella,NA,NA,NA,NA,NA,NA
Candidatus_Nanopelagicus,NA,NA,NA,NA,NA,NA
Candidatus_Nasuia,NA,NA,NA,NA,NA,NA
Candidatus_Nitrosocaldus,NA,NA,NA,NA,NA,NA
Candidatus_Nitrosoglobus,NA,NA,NA,NA,NA,NA
Candidatus_Nitrosomarinus,NA,NA,NA,NA,NA,NA
Candidatus_Nitrosopelagicus,NA,NA,NA,NA,NA,NA
Candidatus_Nitrosopumilus,NA,NA,NA,NA,NA,NA
Candidatus_Nitrosotenuis,NA,NA,NA,NA,NA,NA
Candidatus_Nitrospira,NA,NA,NA,NA,NA,NA
Candidatus_Nucleicultrix,NA,NA,NA,NA,NA,NA
Candidatus_Pantoea,NA,NA,NA,NA,NA,NA
Candidatus_Paracaedibacter,NA,NA,NA,NA,NA,NA
Candidatus_Pelagibacter,NA,NA,NA,NA,NA,NA
Candidatus_Phycorickettsia,NA,NA,NA,NA,NA,NA
Candidatus_Phytoplasma,NA,NA,NA,NA,NA,NA
Candidatus_Planktophila,NA,NA,NA,NA,NA,NA
Candidatus_Portiera,NA,NA,NA,NA,NA,NA
Candidatus_Profftella,NA,NA,NA,NA,NA,NA
Candidatus_Puniceispirillum,NA,NA,NA,NA,NA,NA
Candidatus_Purcelliella,NA,NA,NA,NA,NA,NA
Candidatus_Rhodoluna,NA,NA,NA,NA,NA,NA
Candidatus_Rickettsiella,NA,NA,NA,NA,NA,NA
Candidatus_Riesia,NA,NA,NA,NA,NA,NA
Candidatus_Ruthia,NA,NA,NA,NA,NA,NA
Candidatus_Saccharibacteria,NA,NA,NA,NA,NA,NA
Candidatus_Saccharimonas,NA,NA,NA,NA,NA,NA
Candidatus_Sodalis,NA,NA,NA,NA,NA,NA
Candidatus_Solibacter,NA,NA,NA,NA,NA,NA
Candidatus_Sulcia,NA,NA,NA,NA,NA,NA
Candidatus_Symbiobacter,NA,NA,NA,NA,NA,NA
Candidatus_Tachikawaea,NA,NA,NA,NA,NA,NA
Candidatus_Thiodictyon,NA,NA,NA,NA,NA,NA
Candidatus_Thioglobus,NA,NA,NA,NA,NA,NA
Candidatus_Tremblaya,NA,NA,NA,NA,NA,NA
Candidatus_Uzinura,NA,NA,NA,NA,NA,NA
Candidatus_Vesicomyosocius,NA,NA,NA,NA,NA,NA
Candidatus_Walczuchella,NA,NA,NA,NA,NA,NA
Candidatus_Xiphinematobacter,NA,NA,NA,NA,NA,NA
Capnocytophaga_canimorsus,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga
Capnocytophaga_cynodegmi,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga
Capnocytophaga_gingivalis,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga
Capnocytophaga_haemolytica,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga
Capnocytophaga_leadbetteri,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga
Capnocytophaga_ochracea,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga
Capnocytophaga_sp,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga
Capnocytophaga_sputigena,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga
Capnocytophaga_stomatis,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga
Caproiciproducens_sp,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Caproiciproducens
Carboxydocella_thermautotrophica,Bacteria,Firmicutes,Clostridia,Clostridiales,NA,Carboxydocella
Carboxydothermus_hydrogenoformans,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydothermus
Cardinium_endosymbiont,NA,NA,NA,NA,NA,NA
Cardiobacterium_hominis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium
Carnobacterium_divergens,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium
Carnobacterium_inhibens,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium
Carnobacterium_maltaromaticum,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium
Carnobacterium_sp,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium
Castellaniella_defragrans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Castellaniella
Catenovulum_sp,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Catenovulum
Catenulispora_acidiphila,Bacteria,Actinobacteria,Actinobacteria,Catenulisporales,Catenulisporaceae,Catenulispora
Caulobacter_crescentus,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
Caulobacter_flavus,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
Caulobacter_henricii,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
Caulobacter_mirabilis,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
Caulobacter_segnis,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
Caulobacter_sp,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
Caulobacter_vibrioides,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
Caulobacteraceae_bacterium,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,NA
Cedecea_lapagei,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea
Cedecea_neteri,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea
Celeribacter_ethanolicus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Celeribacter
Celeribacter_indicus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Celeribacter
Celeribacter_manganoxidans,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Celeribacter
Celeribacter_marinus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Celeribacter
Cellulomonas_fimi,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas
Cellulomonas_flavigena,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas
Cellulomonas_gilvus,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas
Cellulomonas_sp,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas
Cellulophaga_algicola,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
Cellulophaga_baltica,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
Cellulophaga_lytica,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
Cellulosilyticum_sp,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum
Cellulosimicrobium_cellulans,Bacteria,Proteobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Cellulosimicrobium
Cellulosimicrobium_sp,Bacteria,Proteobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Cellulosimicrobium
Cellvibrio_japonicus,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio
Cellvibrio_sp,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio
Chania_multitudinisentens,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Chania
Chelativorans_sp,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Chelativorans
Chelatococcus_daeguensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Chelatococcaceae,Chelatococcus
Chelatococcus_sp,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Chelatococcaceae,Chelatococcus
Chitinophaga_pinensis,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga
Chitinophagaceae_bacterium,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,NA
Chlamydia_abortus,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia
Chlamydia_avium,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia
Chlamydia_felis,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia
Chlamydia_gallinacea,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia
Chlamydia_muridarum,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia
Chlamydia_pecorum,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia
Chlamydia_pneumoniae,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia
Chlamydia_psittaci,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia
Chlamydia_sp,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia
Chlamydia_suis,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia
Chlamydia_trachomatis,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia
Chlamydophila_abortus,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydophila
Chlamydophila_caviae,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydophila
Chlamydophila_pecorum,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydophila
Chlamydophila_pneumoniae,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydophila
Chloracidobacterium_thermophilum,Bacteria,Acidobacteria,Blastociella,NA,NA,Chloracidobacterium
Chlorobaculum_limnaeum,Bacteria,Bacteroidetes,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum
Chlorobaculum_parvum,Bacteria,Bacteroidetes,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum
Chlorobium_chlorochromatii,Bacteria,Bacteroidetes,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum
Chlorobium_limicola,Bacteria,Bacteroidetes,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum
Chlorobium_luteolum,Bacteria,Bacteroidetes,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum
Chlorobium_phaeobacteroides,Bacteria,Bacteroidetes,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum
Chlorobium_phaeovibrioides,Bacteria,Bacteroidetes,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum
Chlorobium_tepidum,Bacteria,Bacteroidetes,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum
Chloroflexus_aggregans,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,Chloroflexus
Chloroflexus_aurantiacus,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,Chloroflexus
Chloroflexus_sp,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,Chloroflexus
Chloroherpeton_thalassium,Bacteria,Bacteroidetes,Chlorobia,Chlorobiales,Chlorobiaceae,Chloroperpeton
Chondrocystis_sp,Bacteria,Cyanobacteria,Cyanobacteria,Chroococcales,Chroococcaceae,Chondrocystis
Chondromyces_crocatus,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Chondromyces
Christensenella_minuta,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella
Christensenella_sp,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella
Chromatiaceae_bacterium,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiles,Chromatiaceae,NA
Chromobacterium_rhizoryzae,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium
Chromobacterium_sp,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium
Chromobacterium_vaccinii,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium
Chromobacterium_violaceum,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium
Chromohalobacter_salexigens,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Chromohalobacter
chromosome,NA,NA,NA,NA,NA,NA
Chroococcidiopsis_thermalis,Bacteria,Cyanobacteria,Cyanobacteria,Chroococcidiopsidales,Chroococcidiopsidaceae,Chroococcidiopsis
Chryseobacterium_antarcticum,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium
Chryseobacterium_arthrosphaerae,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium
